HOG	OG	Gene Tree Parent Clade	A_obtectus	B_siliquastri	B_varius	C_chinensis	C_maculatus	C_maculatusC	D_carinulata	D_sublineata
N0.HOG0000023	OG0000010	n52	anno1.g1069.t2, anno1.g6086.t1		anno1.g1368.t1		g11345.t1_1, g12218.t1_1, g14352.t1_1	anno1.g2091.t1, anno1.g775.t1	rna-XM_057803299.1_1, rna-XM_057806288.1_1, rna-XM_057804734.1_1, rna-XM_057796277.1_1	rna-XM_056792848.1_1, rna-XM_056781720.1_1, rna-XM_056791541.1_1, rna-XM_056791438.1_1, rna-XM_056791479.1_1, rna-XM_056781719.1_1, rna-XM_056792845.1_1, rna-XM_056783768.1_1, rna-XM_056777546.1_1
N0.HOG0000024	OG0000011	n1		BRAKERILHT00000000837_1	anno1.g2935.t1, anno1.g1711.t1, anno1.g8537.t1, anno1.g11876.t1, anno1.g6558.t1	anno1.g1486.t1	g10843.t1_1, g12487.t1_1, g7157.t1_1, g14781.t1_1, g13922.t1_1, g7912.t1_1	anno1.g1590.t1, anno1.g3096.t1, anno1.g356.t1	rna-XM_057802440.1_1	rna-XM_056788800.1_1, rna-XM_056789858.1_1
N0.HOG0000025	OG0000011	n19		BRAKERILHT00000007616_1, BRAKERILHT00000006590_1, BRAKERILHT00000014140_1, BRAKERILHT00000003178_1, BRAKERILHT00000015937_1, BRAKERILHT00000013747_1, BRAKERILHT00000006653_1, BRAKERILHT00000017935_1, BRAKERILHT00000003566_1, BRAKERILHT00000013978_1, BRAKERILHT00000007080_1, BRAKERILHT00000017141_1, BRAKERILHT00000000287_1, BRAKERILHT00000017518_1, BRAKERILHT00000000830_1, BRAKERILHT00000014563_1, BRAKERILHT00000013166_1, BRAKERILHT00000016363_1, BRAKERILHT00000017622_1, BRAKERILHT00000005256_1, BRAKERILHT00000006476_1, BRAKERILHT00000013596_1, BRAKERILHT00000017771_1, BRAKERILHT00000017000_1, BRAKERILHT00000001206_1, BRAKERILHT00000012814_1, BRAKERILHT00000017969_1, BRAKERILHT00000001129_1, BRAKERILHT00000010930_1, BRAKERILHT00000017688_1, BRAKERILHT00000002331_1	anno1.g2934.t1, anno1.g1454.t1	anno1.g5282.t1	g12629.t1_1, g1465.t1_1, g5535.t1_1, g1564.t1_1, g1501.t1_1, g10267.t1_1, g13639.t1_1	anno1.g762.t1, anno1.g3006.t1, anno1.g5977.t1, anno1.g13024.t1, anno1.g1377.t1, anno1.g10633.t1, anno1.g3007.t1, anno1.g13025.t1, anno1.g13259.t1, anno1.g12587.t1	rna-XM_057795625.1_1	
N0.HOG0000026	OG0000012	n1			anno1.g11647.t1	anno1.g13702.t1	g4212.t1_1		rna-XM_057810791.1_1	
N0.HOG0000027	OG0000012	n4		BRAKERILHT00000006153_1, BRAKERILHT00000004234_1, BRAKERILHT00000007906_1, BRAKERILHT00000011753_1	anno1.g1104.t1, anno1.g9958.t1, anno1.g373.t1, anno1.g9730.t1, anno1.g5152.t1, anno1.g11572.t1, anno1.g2999.t1, anno1.g7313.t1, anno1.g10626.t2, anno1.g1330.t1, anno1.g10247.t1, anno1.g2799.t1, anno1.g1157.t1, anno1.g12391.t1, anno1.g12388.t1, anno1.g12371.t1, anno1.g7334.t1, anno1.g3105.t1, anno1.g4618.t1, anno1.g2939.t1, anno1.g1088.t1, anno1.g2840.t1, anno1.g1628.t1, anno1.g11821.t1, anno1.g7291.t1, anno1.g8070.t1, anno1.g11595.t1, anno1.g7315.t1, anno1.g10750.t1, anno1.g25.t1, anno1.g8381.t1, anno1.g8382.t1, anno1.g5785.t1, anno1.g1995.t1	anno1.g9850.t1, anno1.g1294.t1	g7224.t1_1, g13900.t1_1, g13125.t1_1, g7431.t1_1, g4132.t1_1	anno1.g1077.t1, anno1.g992.t1, anno1.g10794.t1, anno1.g6045.t1, anno1.g5096.t1, anno1.g8891.t2, anno1.g5261.t1, anno1.g12741.t1, anno1.g1073.t1, anno1.g12344.t1, anno1.g9686.t1, anno1.g12673.t1, anno1.g2155.t1, anno1.g668.t1, anno1.g12061.t1, anno1.g6812.t1, anno1.g14076.t1, anno1.g693.t1	rna-XM_057810785.1_1	rna-XM_056789157.1_1
N0.HOG0000028	OG0000013	n0		BRAKERILHT00000017482_1, BRAKERILHT00000017028_1, BRAKERILHT00000004342_1, BRAKERILHT00000001568_1, BRAKERILHT00000001732_1, BRAKERILHT00000001566_1, BRAKERILHT00000000780_1, BRAKERILHT00000000774_1, BRAKERILHT00000001984_1, BRAKERILHT00000000454_1, BRAKERILHT00000001221_1, BRAKERILHT00000000722_1, BRAKERILHT00000000689_1, BRAKERILHT00000002103_1, BRAKERILHT00000000945_1, BRAKERILHT00000002109_1, BRAKERILHT00000001677_1, BRAKERILHT00000001114_1, BRAKERILHT00000000408_1, BRAKERILHT00000000121_1, BRAKERILHT00000002150_1, BRAKERILHT00000001115_1, BRAKERILHT00000001375_1, BRAKERILHT00000000053_1, BRAKERILHT00000001966_1, BRAKERILHT00000001747_1, BRAKERILHT00000001030_1, BRAKERILHT00000001171_1, BRAKERILHT00000000658_1, BRAKERILHT00000001870_1, BRAKERILHT00000000388_1, BRAKERILHT00000001008_1, BRAKERILHT00000000168_1, BRAKERILHT00000017725_1, BRAKERILHT00000003375_1, BRAKERILHT00000011592_1, BRAKERILHT00000008934_1, BRAKERILHT00000017111_1, BRAKERILHT00000006938_1, BRAKERILHT00000016133_1, BRAKERILHT00000001025_1, BRAKERILHT00000005007_1, BRAKERILHT00000008326_1, BRAKERILHT00000017345_1, BRAKERILHT00000017596_1	anno1.g11667.t1, anno1.g11863.t1, anno1.g590.t1, anno1.g7384.t1, anno1.g12347.t1, anno1.g11668.t1, anno1.g11770.t1, anno1.g11787.t1, anno1.g6224.t1, anno1.g6230.t1, anno1.g1594.t1, anno1.g11596.t1, anno1.g11602.t1, anno1.g11704.t1, anno1.g9684.t1, anno1.g4042.t1, anno1.g7978.t1, anno1.g2572.t1	anno1.g1206.t1, anno1.g8308.t1		anno1.g14036.t1, anno1.g3987.t1	rna-XM_057796386.1_1	
N0.HOG0000029	OG0000014	n0	anno1.g4633.t1, anno1.g8981.t1, anno1.g9404.t1, anno1.g8982.t1	BRAKERILHT00000017039_1	anno1.g3050.t1, anno1.g6414.t1, anno1.g11742.t1, anno1.g9582.t1	anno1.g382.t1, anno1.g381.t1, anno1.g6220.t1, anno1.g7810.t1, anno1.g12491.t1, anno1.g12492.t1, anno1.g12189.t1, anno1.g12188.t1, anno1.g6026.t1	g8334.t1_1, g8545.t1_1, g4090.t1_1, g10383.t1_1, g13511.t1_1, g14500.t1_1, g5489.t1_1, g9517.t1_1, g2003.t1_1, g5490.t1_1, g10769.t1_1, g11516.t1_1, g8648.t1_1, g11821.t1_1, g2840.t1_1, g1954.t1_1, g2194.t1_1, g12916.t1_1, g3013.t1_1, g12104.t1_1	anno1.g3850.t1, anno1.g938.t1, anno1.g4747.t1, anno1.g232.t1, anno1.g2656.t1, anno1.g3521.t1, anno1.g13138.t1, anno1.g13137.t1, anno1.g3750.t1, anno1.g3522.t1, anno1.g3791.t1, anno1.g4781.t1, anno1.g6485.t1, anno1.g7431.t1, anno1.g7411.t1, anno1.g5387.t1, anno1.g5388.t1, anno1.g5175.t1, anno1.g6582.t1, anno1.g858.t1, anno1.g13013.t1, anno1.g11858.t1, anno1.g8830.t1, anno1.g6517.t1, anno1.g2514.t1, anno1.g5579.t1, anno1.g2608.t1	rna-XM_057815248.1_1	rna-XM_056789093.1_1
N0.HOG0000030	OG0000015	n0					g4479.t1_1	anno1.g10975.t1	rna-XM_057810789.1_1, rna-XM_057804724.1_1, rna-XM_057815982.1_1, rna-XM_057796736.1_1, rna-XM_057797820.1_1, rna-XM_057797794.1_1, rna-XM_057807121.1_1, rna-XM_057798803.1_1, rna-XM_057796393.1_1, rna-XM_057796415.1_1, rna-XM_057801811.1_1, rna-XM_057797556.1_1, rna-XM_057814679.1_1, rna-XM_057798739.1_1, rna-XM_057815253.1_1, rna-XM_057796411.1_1, rna-XM_057796744.1_1, rna-XM_057811273.1_1, rna-XM_057804739.1_1, rna-XM_057814477.1_1, rna-XM_057801418.1_1, rna-XM_057806535.1_1, rna-XM_057796741.1_1, rna-XM_057811277.1_1, rna-XM_057806244.1_1, rna-XM_057797836.1_1	rna-XM_056792787.1_1, rna-XM_056773902.1_1, rna-XM_056786651.1_1, rna-XM_056773897.1_1, rna-XM_056783455.1_1, rna-XM_056792836.1_1, rna-XM_056786654.1_1, rna-XM_056779969.1_1, rna-XM_056785787.1_1, rna-XM_056777549.1_1, rna-XM_056779948.1_1, rna-XM_056785582.1_1, rna-XM_056777408.1_1, rna-XM_056785967.1_1, rna-XM_056787902.1_1, rna-XM_056779524.1_1, rna-XM_056779466.1_1, rna-XM_056790913.1_1, rna-XM_056781738.1_1, rna-XM_056792818.1_1, rna-XM_056775454.1_1, rna-XM_056777919.1_1, rna-XM_056775451.1_1, rna-XM_056783375.1_1, rna-XM_056779477.1_1, rna-XM_056777935.1_1, rna-XM_056781727.1_1, rna-XM_056780742.1_1, rna-XM_056774522.1_1, rna-XM_056785566.1_1, rna-XM_056773876.1_1, rna-XM_056780660.1_1, rna-XM_056791955.1_1, rna-XM_056779499.1_1, rna-XM_056774815.1_1, rna-XM_056791690.1_1
N0.HOG0000031	OG0000016	n1	anno1.g7710.t1, anno1.g7769.t1, anno1.g1771.t1, anno1.g736.t1, anno1.g7101.t1, anno1.g7770.t1, anno1.g12077.t1		anno1.g12403.t1, anno1.g11714.t1			anno1.g5516.t1, anno1.g10644.t1	rna-XM_057810004.1_1, rna-XM_057801552.1_1, rna-XM_057804752.1_1, rna-XM_057797901.1_1, rna-XM_057797436.1_1, rna-XM_057799354.1_1, rna-XM_057812674.1_1, rna-XM_057809988.1_1, rna-XM_057797952.1_1	rna-XM_056784626.1_1, rna-XM_056777241.1_1
N0.HOG0000032	OG0000016	n24	anno1.g5125.t1						rna-XM_057809480.1_1, rna-XM_057807407.1_1	rna-XM_056789955.1_1
N0.HOG0000033	OG0000016	n27	anno1.g5124.t1, anno1.g5126.t1, anno1.g3385.t1, anno1.g3386.t1						rna-XM_057816190.1_1	
N0.HOG0000034	OG0000016	n31			anno1.g9703.t1, anno1.g9701.t2, anno1.g4291.t1, anno1.g10422.t1, anno1.g68.t1, anno1.g5000.t1, anno1.g783.t1, anno1.g1482.t1, anno1.g1263.t1	anno1.g12987.t1, anno1.g9455.t1, anno1.g150.t1, anno1.g9389.t1, anno1.g3140.t1, anno1.g149.t1	g2022.t1_1	anno1.g12877.t1, anno1.g6491.t1, anno1.g9029.t1, anno1.g3657.t1, anno1.g3752.t1, anno1.g6596.t1, anno1.g844.t1, anno1.g6472.t1, anno1.g10675.t1, anno1.g3664.t1, anno1.g6469.t1, anno1.g10863.t1, anno1.g840.t1, anno1.g3643.t1, anno1.g3426.t1		
N0.HOG0000035	OG0000017	n1	anno1.g5494.t1, anno1.g12688.t1	BRAKERILHT00000004330_1, BRAKERILHT00000007821_1, BRAKERILHT00000007993_1		anno1.g1692.t1, anno1.g7484.t1, anno1.g10347.t1, anno1.g4690.t1, anno1.g5334.t1	g10359.t1_1	anno1.g13676.t1, anno1.g7765.t1, anno1.g2770.t1, anno1.g9854.t1, anno1.g11708.t1	rna-XM_057797539.1_1, rna-XM_057799430.1_1, rna-XM_057801304.1_1, rna-XM_057804453.1_1, rna-XM_057803662.1_1, rna-XM_057805036.1_1, rna-XM_057800302.1_1, rna-XM_057794883.1_1, rna-XM_057806406.1_1, rna-XM_057806348.1_1, rna-XM_057812338.1_1, rna-XM_057813299.1_1, rna-XM_057813070.1_1, rna-XM_057796424.1_1, rna-XM_057797149.1_1, rna-XM_057804569.1_1, rna-XM_057804483.1_1, rna-XM_057804574.1_1, rna-XM_057804416.1_1, rna-XM_057814760.1_1, rna-XM_057808981.1_1, rna-XM_057797345.1_1, rna-XM_057815543.1_1, rna-XM_057816684.1_1, rna-XM_057801983.1_1, rna-XM_057808604.1_1, rna-XM_057808256.1_1, rna-XM_057815309.1_1, rna-XM_057798889.1_1	rna-XM_056780765.1_1
N0.HOG0000036	OG0000017	n46	anno1.g12287.t1, anno1.g4385.t1, anno1.g1327.t1, anno1.g3395.t2, anno1.g14300.t1, anno1.g5079.t1	BRAKERILHT00000017939_1, BRAKERILHT00000013556_1, BRAKERILHT00000017245_1		anno1.g9849.t1, anno1.g1693.t1		anno1.g13677.t2, anno1.g12679.t1	rna-XM_057809996.1_1, rna-XM_057800733.1_1, rna-XM_057810051.1_1	
N0.HOG0000037	OG0000018	n0	anno1.g7962.t1, anno1.g13481.t1, anno1.g14583.t1, anno1.g6188.t1, anno1.g4490.t1	BRAKERILHT00000005134_1, BRAKERILHT00000015195_1, BRAKERILHT00000018065_1, BRAKERILHT00000017304_1, BRAKERILHT00000013871_1, BRAKERILHT00000017238_1, BRAKERILHT00000012196_1, BRAKERILHT00000002912_1, BRAKERILHT00000014443_1, BRAKERILHT00000013643_1, BRAKERILHT00000017931_1, BRAKERILHT00000011026_1, BRAKERILHT00000011638_1	anno1.g717.t1, anno1.g8578.t1, anno1.g6117.t1, anno1.g11545.t1, anno1.g11862.t1, anno1.g11867.t1, anno1.g9200.t1, anno1.g4489.t1	anno1.g4520.t1, anno1.g919.t1, anno1.g12834.t1, anno1.g604.t1, anno1.g10106.t1, anno1.g2093.t1, anno1.g3080.t1, anno1.g3699.t1, anno1.g7976.t1, anno1.g4541.t1, anno1.g6202.t1, anno1.g4395.t1, anno1.g988.t1, anno1.g13651.t1, anno1.g10640.t1, anno1.g2099.t1, anno1.g3500.t1, anno1.g1618.t1	g13858.t1_1, g4298.t1_1	anno1.g13847.t1, anno1.g10607.t1, anno1.g2974.t1, anno1.g11564.t1, anno1.g9133.t1, anno1.g670.t1, anno1.g1196.t1, anno1.g6835.t1, anno1.g8052.t1, anno1.g4269.t1, anno1.g669.t1, anno1.g12719.t1, anno1.g13364.t1, anno1.g12236.t1, anno1.g12067.t1		
N0.HOG0000038	OG0000019	n0		BRAKERILHT00000016440_1, BRAKERILHT00000016852_1, BRAKERILHT00000016885_1, BRAKERILHT00000016019_1, BRAKERILHT00000016556_1, BRAKERILHT00000016126_1, BRAKERILHT00000016791_1, BRAKERILHT00000016619_1, BRAKERILHT00000016001_1, BRAKERILHT00000003476_1, BRAKERILHT00000003548_1, BRAKERILHT00000002782_1, BRAKERILHT00000002195_1, BRAKERILHT00000003410_1, BRAKERILHT00000002260_1, BRAKERILHT00000001056_1, BRAKERILHT00000016938_1, BRAKERILHT00000010892_1, BRAKERILHT00000017300_1, BRAKERILHT00000003849_1, BRAKERILHT00000002886_1, BRAKERILHT00000004004_1, BRAKERILHT00000003834_1, BRAKERILHT00000002917_1, BRAKERILHT00000001414_1, BRAKERILHT00000002762_1, BRAKERILHT00000003802_1, BRAKERILHT00000002863_1, BRAKERILHT00000002717_1, BRAKERILHT00000003228_1, BRAKERILHT00000001847_1, BRAKERILHT00000000939_1, BRAKERILHT00000002818_1, BRAKERILHT00000002752_1, BRAKERILHT00000004082_1, BRAKERILHT00000003445_1, BRAKERILHT00000002999_1, BRAKERILHT00000004112_1, BRAKERILHT00000001491_1, BRAKERILHT00000016407_1, BRAKERILHT00000016590_1, BRAKERILHT00000016858_1, BRAKERILHT00000016213_1, BRAKERILHT00000016620_1, BRAKERILHT00000015619_1, BRAKERILHT00000016092_1, BRAKERILHT00000016153_1, BRAKERILHT00000016663_1, BRAKERILHT00000001803_1, BRAKERILHT00000000888_1, BRAKERILHT00000000424_1, BRAKERILHT00000000610_1, BRAKERILHT00000000838_1, BRAKERILHT00000001248_1, BRAKERILHT00000000458_1		anno1.g3174.t1				
N0.HOG0000039	OG0000020	n0	anno1.g10509.t1	BRAKERILHT00000005950_1	anno1.g7706.t1, anno1.g7703.t1, anno1.g7705.t1, anno1.g62.t1, anno1.g67.t1, anno1.g63.t1, anno1.g66.t1, anno1.g65.t1, anno1.g64.t1, anno1.g10146.t1, anno1.g7801.t1, anno1.g11040.t1, anno1.g7805.t1, anno1.g7806.t1, anno1.g7704.t3	anno1.g9747.t1	g9886.t1_1, g5234.t2_1, g3332.t1_1, g9327.t2_1, g7477.t1_1, g2463.t1_1, g7541.t1_1, g2462.t1_1, g2152.t1_1, g14302.t1_1, g4165.t1_1, g3330.t1_1, g12569.t1_1, g12563.t1_1, g12562.t1_1, g5276.t1_1, g7406.t1_1	anno1.g9607.t1, anno1.g6134.t1, anno1.g6709.t1, anno1.g13963.t1, anno1.g6137.t1, anno1.g6848.t1, anno1.g13895.t1, anno1.g12862.t1, anno1.g7775.t1, anno1.g7244.t1, anno1.g6358.t1, anno1.g6152.t1, anno1.g7820.t1, anno1.g5360.t1, anno1.g6135.t1, anno1.g8862.t1, anno1.g8863.t1, anno1.g6759.t1, anno1.g6776.t2, anno1.g11149.t2		
N0.HOG0000040	OG0000021	n1	anno1.g10751.t1	BRAKERILHT00000005568_1	anno1.g4574.t1	anno1.g12683.t1, anno1.g10349.t1	g8808.t1_1	anno1.g3610.t1	rna-XM_057802961.1_1	rna-XM_056783872.1_1
N0.HOG0000041	OG0000021	n10	anno1.g5797.t1	BRAKERILHT00000000498_1	anno1.g2209.t1	anno1.g7742.t1	g654.t1_1	anno1.g12104.t1	rna-XM_057800030.1_1	rna-XM_056783810.1_1
N0.HOG0000042	OG0000021	n18	anno1.g2474.t1	BRAKERILHT00000004131_1	anno1.g6927.t1	anno1.g1535.t1	g11648.t1_1	anno1.g10339.t4	rna-XM_057803476.1_1	rna-XM_056783901.1_1
N0.HOG0000043	OG0000021	n25	anno1.g6884.t1, anno1.g8378.t1, anno1.g8377.t1	BRAKERILHT00000000122_1, BRAKERILHT00000000474_1, BRAKERILHT00000013104_1, BRAKERILHT00000012959_1	anno1.g2483.t1, anno1.g9998.t1, anno1.g10000.t1	anno1.g3748.t1, anno1.g7440.t1, anno1.g7441.t1	g1103.t1_1, g4636.t1_1, g4635.t1_1	anno1.g11671.t1, anno1.g5833.t1, anno1.g5832.t1	rna-XM_057805277.1_1, rna-XM_057805273.1_1, rna-XM_057805458.1_1, rna-XM_057805276.1_1	rna-XM_056774672.1_1, rna-XM_056774785.1_1, rna-XM_056774728.1_1, rna-XM_056776148.1_1, rna-XM_056774808.1_1
N0.HOG0000044	OG0000022	n4		BRAKERILHT00000017313_1, BRAKERILHT00000017208_1, BRAKERILHT00000017095_1, BRAKERILHT00000017715_1, BRAKERILHT00000001043_1, BRAKERILHT00000004578_1, BRAKERILHT00000017823_1, BRAKERILHT00000013238_1, BRAKERILHT00000011742_1, BRAKERILHT00000002316_1			g4968.t1_1	anno1.g2499.t1		
N0.HOG0000045	OG0000022	n16		BRAKERILHT00000006320_1, BRAKERILHT00000000200_1, BRAKERILHT00000017246_1, BRAKERILHT00000017299_1, BRAKERILHT00000003291_1, BRAKERILHT00000011729_1, BRAKERILHT00000007177_1						
N0.HOG0000046	OG0000022	n24		BRAKERILHT00000005712_1					rna-XM_057806832.1_1	
N0.HOG0000047	OG0000022	n25		BRAKERILHT00000005401_1, BRAKERILHT00000001212_1, BRAKERILHT00000011839_1, BRAKERILHT00000010478_1, BRAKERILHT00000015119_1, BRAKERILHT00000015253_1, BRAKERILHT00000014941_1, BRAKERILHT00000015069_1			g5506.t1_1		rna-XM_057815292.1_1	
N0.HOG0000048	OG0000022	n34		BRAKERILHT00000009046_1, BRAKERILHT00000004178_1, BRAKERILHT00000003946_1, BRAKERILHT00000002775_1, BRAKERILHT00000003428_1, BRAKERILHT00000002880_1, BRAKERILHT00000003706_1, BRAKERILHT00000003708_1, BRAKERILHT00000002796_1, BRAKERILHT00000002241_1, BRAKERILHT00000004148_1, BRAKERILHT00000003275_1, BRAKERILHT00000003092_1						
N0.HOG0000049	OG0000022	n46		BRAKERILHT00000009421_1, BRAKERILHT00000005597_1, BRAKERILHT00000001699_1, BRAKERILHT00000010536_1, BRAKERILHT00000012279_1					rna-XM_057802529.1_1	
N0.HOG0000050	OG0000023	n0	anno1.g671.t1, anno1.g677.t1, anno1.g11569.t1, anno1.g11568.t1	BRAKERILHT00000010886_1, BRAKERILHT00000011969_1, BRAKERILHT00000010503_1, BRAKERILHT00000011307_1, BRAKERILHT00000003905_1, BRAKERILHT00000006273_1, BRAKERILHT00000003106_1, BRAKERILHT00000015353_1, BRAKERILHT00000009443_1, BRAKERILHT00000011460_1, BRAKERILHT00000015944_1, BRAKERILHT00000006472_1, BRAKERILHT00000012869_1	anno1.g10337.t1, anno1.g10336.t1, anno1.g10338.t1, anno1.g8239.t1, anno1.g9423.t1	anno1.g13375.t2, anno1.g13374.t1, anno1.g5698.t1, anno1.g5699.t2, anno1.g5811.t1, anno1.g12737.t1, anno1.g7669.t1, anno1.g7705.t1, anno1.g301.t2, anno1.g3319.t1, anno1.g9088.t1, anno1.g12196.t1, anno1.g9866.t1, anno1.g12961.t1, anno1.g10.t1, anno1.g724.t1	g12309.t1_1, g9030.t2_1, g6084.t1_1, g2379.t1_1, g7899.t1_1	anno1.g8466.t1, anno1.g11049.t1, anno1.g3378.t3, anno1.g7703.t1, anno1.g2029.t1, anno1.g4578.t1, anno1.g5080.t1		rna-XM_056787889.1_1
N0.HOG0000051	OG0000024	n2	anno1.g6751.t1	BRAKERILHT00000000164_1	anno1.g2969.t1	anno1.g226.t2	g329.t1_1	anno1.g12402.t1	rna-XM_057797060.1_1, rna-XM_057796990.1_1, rna-XM_057797053.1_1, rna-XM_057797043.1_1, rna-XM_057797058.1_1, rna-XM_057797054.1_1	rna-XM_056778804.1_1, rna-XM_056778467.1_1, rna-XM_056779600.1_1, rna-XM_056779598.1_1, rna-XM_056778803.1_1, rna-XM_056779601.1_1
N0.HOG0000052	OG0000024	n19	anno1.g1173.t1	BRAKERILHT00000011036_1, BRAKERILHT00000007689_1	anno1.g10395.t1		g10539.t1_1	anno1.g8910.t1	rna-XM_057814541.1_1, rna-XM_057809416.1_1, rna-XM_057802141.1_1, rna-XM_057795125.1_1	rna-XM_056783868.1_1, rna-XM_056789050.1_1, rna-XM_056789151.1_1, rna-XM_056789055.1_1, rna-XM_056789156.1_1
N0.HOG0000053	OG0000024	n33	anno1.g7036.t1	BRAKERILHT00000017636_1, BRAKERILHT00000000558_1	anno1.g3135.t1	anno1.g430.t1, anno1.g13175.t1	g222.t1_1	anno1.g12526.t1	rna-XM_057797066.1_1, rna-XM_057814644.1_1, rna-XM_057812077.1_1, rna-XM_057797067.1_1	rna-XM_056779541.1_1, rna-XM_056792668.1_1, rna-XM_056782713.1_1, rna-XM_056779306.1_1, rna-XM_056775272.1_1
N0.HOG0000054	OG0000025	n1	anno1.g5633.t1, anno1.g7476.t1							
N0.HOG0000055	OG0000025	n3						anno1.g8000.t1, anno1.g11137.t1	rna-XM_057814241.1_1	rna-XM_056792227.1_1
N0.HOG0000056	OG0000025	n6		BRAKERILHT00000002851_1, BRAKERILHT00000015641_1, BRAKERILHT00000013460_1	anno1.g1233.t3, anno1.g11216.t1, anno1.g7316.t1, anno1.g9789.t1		g8553.t1_1, g8263.t2_1, g3478.t1_1, g4273.t1_1, g10276.t1_1, g4897.t1_1, g6177.t1_1, g9645.t1_1, g10625.t1_1	anno1.g7399.t1, anno1.g9113.t1, anno1.g12462.t1, anno1.g5997.t1, anno1.g9639.t1, anno1.g747.t1, anno1.g376.t1, anno1.g6091.t1, anno1.g2067.t1, anno1.g2262.t1, anno1.g6952.t1, anno1.g1089.t1, anno1.g154.t1, anno1.g7400.t1, anno1.g3372.t1, anno1.g12334.t1, anno1.g405.t1, anno1.g10770.t1, anno1.g2412.t1, anno1.g2687.t1, anno1.g13081.t1, anno1.g13068.t1, anno1.g9541.t1, anno1.g9498.t1, anno1.g12066.t1, anno1.g9860.t1, anno1.g8315.t1		rna-XM_056773913.1_1
N0.HOG0000057	OG0000026	n0	anno1.g1357.t1, anno1.g104.t1, anno1.g527.t1, anno1.g5452.t1, anno1.g750.t2, anno1.g1358.t1, anno1.g7342.t1		anno1.g2279.t1	anno1.g1348.t1, anno1.g4522.t1, anno1.g1707.t1, anno1.g3862.t1, anno1.g5671.t1, anno1.g11530.t1, anno1.g10633.t1, anno1.g2592.t1, anno1.g3444.t1, anno1.g1324.t1, anno1.g4521.t1, anno1.g3016.t1, anno1.g4261.t1, anno1.g9391.t1, anno1.g2605.t1, anno1.g5407.t1, anno1.g2225.t1, anno1.g11565.t1, anno1.g8788.t1, anno1.g8962.t1, anno1.g7147.t1, anno1.g1323.t2, anno1.g3445.t1, anno1.g2593.t1	g6047.t1_1, g9036.t1_1, g5902.t1_1, g14380.t1_1, g3670.t1_1, g14611.t1_1, g8638.t1_1	anno1.g3794.t1, anno1.g13881.t1, anno1.g6934.t1, anno1.g5024.t1, anno1.g3795.t1	rna-XM_057811216.1_1, rna-XM_057802495.1_1, rna-XM_057796280.1_1, rna-XM_057805236.1_1, rna-XM_057810799.1_1	
N0.HOG0000058	OG0000027	n0		BRAKERILHT00000004496_1, BRAKERILHT00000006173_1, BRAKERILHT00000005575_1, BRAKERILHT00000005463_1, BRAKERILHT00000005746_1, BRAKERILHT00000006048_1, BRAKERILHT00000005167_1, BRAKERILHT00000004706_1, BRAKERILHT00000017773_1, BRAKERILHT00000014876_1	anno1.g1532.t1, anno1.g5851.t1, anno1.g1588.t1, anno1.g11526.t1, anno1.g5621.t1, anno1.g5472.t1, anno1.g5778.t1, anno1.g8100.t1	anno1.g12369.t1, anno1.g10641.t1, anno1.g10528.t1	g2447.t1_1, g5292.t1_1, g6433.t1_1, g2195.t1_1, g6532.t1_1, g5293.t1_1, g10475.t1_1, g4098.t1_1, g4295.t1_1, g12090.t1_1	anno1.g6039.t1, anno1.g7590.t1, anno1.g8894.t1, anno1.g6756.t1, anno1.g3371.t1, anno1.g887.t1, anno1.g5509.t1, anno1.g1143.t1, anno1.g4174.t1, anno1.g5751.t1, anno1.g9497.t1, anno1.g1179.t1, anno1.g6468.t1, anno1.g9278.t1, anno1.g10602.t1, anno1.g11480.t1, anno1.g11576.t1, anno1.g6834.t1		
N0.HOG0000059	OG0000028	n0		BRAKERILHT00000011458_1, BRAKERILHT00000017379_1, BRAKERILHT00000007261_1, BRAKERILHT00000004410_1, BRAKERILHT00000009298_1, BRAKERILHT00000000797_1, BRAKERILHT00000017090_1, BRAKERILHT00000018033_1, BRAKERILHT00000000330_1, BRAKERILHT00000003344_1, BRAKERILHT00000001659_1, BRAKERILHT00000017685_1, BRAKERILHT00000009285_1, BRAKERILHT00000011933_1	anno1.g10499.t1, anno1.g9124.t1, anno1.g7388.t1, anno1.g11669.t1, anno1.g3326.t1, anno1.g8291.t1, anno1.g7385.t1, anno1.g11864.t1, anno1.g9804.t1, anno1.g2362.t1, anno1.g4446.t1, anno1.g10994.t1, anno1.g5067.t1, anno1.g1915.t1		g7246.t1_1, g387.t1_1, g13555.t1_1, g980.t1_1, g9037.t1_1, g610.t1_1, g5312.t1_1	anno1.g12243.t1, anno1.g9839.t1, anno1.g1148.t1, anno1.g12259.t1, anno1.g10959.t1, anno1.g2235.t1, anno1.g12685.t1, anno1.g6436.t1, anno1.g4605.t1, anno1.g13003.t1, anno1.g8801.t1, anno1.g13876.t1		rna-XM_056779485.1_1
